"aIdstao"	"aIdbeob"	"Jahr"	"natural_artifical_surfaces"	"mobile_blocks"	"coarse_inorganic_sediments"	"gravel"	"sand_silt"	"fine_sediments"	"coarse_organic_matter"	"moss"	"hydrophytes"	"helophytes"	"algae_clay"	"error"	"v_150"	"v_25_75"	"v_5"	"v_5_25"	"v_75_150"	"flow error"	"MonitoringProgram"
668259	6682591	2010	0	0.25	0.25	0.125	0	0.125	0.25	0	0	0	0	NA	0	0.25	0.5	0.25	0	"0"	"BDM"
674203	6742031	2010	0	0.125	0.375	0.25	0.125	0.125	0	0	0	0	0	NA	0	0.375	0.375	0.25	0	"0"	"BDM"
674243	6742431	2010	0.125	0.25	0.25	0.125	0	0	0.25	0	0	0	0	NA	0.125	0.375	0.375	0.125	0	"0"	"BDM"
686211	6862111	2011	0	0	0.25	0.25	0.25	0	0.25	0	0	0	0	NA	0.125	0.25	0.375	0.25	0	"0"	"BDM"
686251	6862511	2010	0	0.25	0.125	0.125	0	0.125	0	0	0.25	0	0.125	NA	0	0	1	0	0	"0"	"BDM"
692235	6922351	2010	0	0.25	0.25	0.125	0.125	0	0.125	0	0	0	0.125	NA	0	0.25	0.625	0.125	0	"0"	"BDM"
692275	6922751	2010	0	0	0	0.25	0.125	0.125	0.125	0	0.125	0.125	0.125	NA	0.25	0.75	0	0	0	"0"	"BDM"
698259	6982591	2010	0.125	0	0.25	0.25	0.125	0	0.25	0	0	0	0	NA	0	0.5	0.5	0	0	"0"	"BDM"
704243	7042431	2010	0	0.25	0.125	0.125	0.125	0	0.25	0	0	0	0.125	NA	0.125	0.25	0.5	0.125	0	"0"	"BDM"
710227	7102271	2010	0	0.25	0.25	0	0	0	0	0.25	0.125	0	0.125	NA	0	0.5	0.5	0	0	"0"	"BDM"
710267	7102671	2010	0	0.125	0.25	0.25	0.125	0	0.125	0.125	0	0	0	NA	0.125	0.375	0.375	0.125	0	"0"	"BDM"
722115	7221151	2010	0	0.125	0.125	0	0.125	0.125	0.375	0.125	0	0	0	NA	0.375	0	0.5	0.125	0	"0"	"BDM"
728259	7282591	2010	0	0	0.125	0.25	0.125	0.125	0.125	0.125	0.125	0	0	NA	0	0.25	0.5	0.25	0	"0"	"BDM"
740267	7402671	2010	0.125	0.25	0.125	0.125	0.125	0	0.125	0.125	0	0	0	NA	0	0.25	0.75	0	0	"0"	"BDM"
758259	7582591	2010	0.125	0.25	0.125	0.125	0.125	0	0.125	0.125	0	0	0	NA	0	0.5	0.25	0.25	0	"0"	"BDM"
542155	5421551	2010	0.125	0.25	0.125	0.125	0.125	0	0.125	0.125	0	0	0	NA	0	0.5	0.5	0	0	"0"	"BDM"
548219	5482191	2010	0.125	0	0.125	0.125	0	0.125	0.125	0.25	0	0	0.125	NA	0.25	0.25	0.375	0.125	0	"0"	"BDM"
554163	5541631	2010	0.125	0.25	0.125	0.125	0.125	0	0.125	0.125	0	0	0	NA	0	0.25	0.75	0	0	"0"	"BDM"
566131	5661311	2010	0.125	0.25	0.25	0.125	0	0	0.25	0	0	0	0	NA	0.125	0.125	0.5	0.25	0	"0"	"BDM"
566171	5661711	2010	0	0.125	0.25	0.125	0.125	0.125	0.25	0	0	0	0	NA	0	0.375	0.5	0.125	0	"0"	"BDM"
572155	5721551	2010	0	0.25	0.25	0.125	0	0	0.25	0.125	0	0	0	NA	0	0.25	0.625	0.125	0	"0"	"BDM"
578179	5781791	2010	0.25	0.25	0.125	0	0.125	0.125	0.125	0	0	0	0	NA	0.375	0.375	0.25	0	0	"0"	"BDM"
608179	6081791	2010	0	0	0.375	0.125	0.125	0.125	0.125	0.125	0	0	0	NA	0.25	0.75	0	0	0	"0"	"BDM"
614203	6142031	2010	0.125	0.25	0.125	0.125	0.125	0.125	0.125	0	0	0	0	NA	0	0	0.875	0.125	0	"0"	"BDM"
614243	6142431	2010	0	0.25	0.25	0.125	0.125	0	0.25	0	0	0	0	NA	0	0.25	0.5	0.25	0	"0"	"BDM"
620187	6201871	2010	0	0	0.25	0	0	0.125	0.625	0	0	0	0	NA	0.375	0.375	0.25	0	0	"0"	"BDM"
626211	6262111	2010	0	0	0.125	0.125	0.125	0.125	0.25	0.125	0	0.125	0	NA	0.125	0.375	0.5	0	0	"0"	"BDM"
632195	6321951	2010	0	0.25	0.25	0.125	0.125	0	0.125	0	0	0	0.125	NA	0	0.25	0.375	0.375	0	"0"	"BDM"
638219	6382191	2010	0.125	0	0.125	0.125	0.125	0.125	0.25	0	0	0.125	0	NA	0.125	0.25	0.625	0	0	"0"	"BDM"
644163	6441631	2010	0.125	0.125	0.25	0.25	0	0	0	0.25	0	0	0	NA	0	0.5	0.5	0	0	"0"	"BDM"
644203	6442031	2010	0.25	0.25	0.25	0.25	0	0	0	0	0	0	0	NA	0	0.125	0.5	0.375	0	"0"	"BDM"
698219	6982191	2011	0	0	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0.125	NA	0	0.125	0.875	0	0	"0"	"BDM"
716131	7161311	2010	0.125	0.125	0.125	0.125	0.125	0	0.25	0.125	0	0	0	NA	0.25	0	0.5	0.25	0	"0"	"BDM"
716251	7162511	2010	0.125	0.125	0.25	0.125	0.125	0	0.125	0.125	0	0	0	NA	0	0.25	0.5	0.25	0	"0"	"BDM"
722235	7222351	2010	0.125	0.25	0.125	0.125	0.125	0	0.125	0.125	0	0	0	NA	0.125	0.25	0.625	0	0	"0"	"BDM"
728219	7282191	2010	0.125	0.25	0.25	0.25	0	0	0.125	0	0	0	0	NA	0	0.25	0.375	0.375	0	"0"	"BDM"
734243	7342431	2010	0.125	0.25	0.125	0.125	0.125	0	0.125	0.125	0	0	0	NA	0.25	0.5	0.25	0	0	"0"	"BDM"
746251	7462511	2010	0	0.25	0.25	0.125	0.125	0	0.25	0	0	0	0	NA	0	0.25	0.75	0	0	"0"	"BDM"
560147	5601471	2010	0.125	0.25	0.125	0.125	0	0	0.125	0.25	0	0	0	NA	0	0.5	0.5	0	0	"0"	"BDM"
578139	5781391	2010	0.125	0.25	0.125	0.125	0	0	0.125	0.25	0	0	0	NA	0	0.375	0.5	0.125	0	"0"	"BDM"
584123	5841231	2010	0.125	0.25	0.125	0.125	0.125	0.125	0.125	0	0	0	0	NA	0.25	0.25	0.25	0.25	0	"0"	"BDM"
590147	5901471	2010	0	0.25	0.25	0.25	0	0.125	0.125	0	0	0	0	NA	0	0.125	0.5	0.375	0	"0"	"BDM"
596171	5961711	2010	0	0.25	0.25	0.125	0	0	0.25	0.125	0	0	0	NA	0	0.25	0.375	0.375	0	"0"	"BDM"
602155	6021551	2010	0	0.25	0.25	0.25	0	0	0.125	0.125	0	0	0	NA	0	0.125	0.375	0.5	0	"0"	"BDM"
650187	6501871	2010	0.125	0.25	0.125	0.125	0.125	0	0.25	0	0	0	0	NA	0.125	0.375	0.5	0	0	"0"	"BDM"
656171	6561711	2010	0.25	0.375	0.25	0.125	0	0	0	0	0	0	0	NA	0	0.25	0.375	0.375	0	"0"	"BDM"
692115	6921151	2010	0.125	0.25	0.25	0.125	0	0	0.25	0	0	0	0	NA	0	0.25	0.5	0.25	0	"0"	"BDM"
692155	6921551	2010	0.125	0.25	0.125	0	0.125	0	0.125	0.25	0	0	0	NA	0	0	0.75	0.25	0	"0"	"BDM"
716171	7161711	2010	0.25	0.25	0.25	0.125	0.125	0	0	0	0	0	0	NA	0.125	0.25	0.375	0.25	0	"0"	"BDM"
728179	7281791	2010	0	0.375	0.25	0.25	0.125	0	0	0	0	0	0	NA	0	0	0.875	0.125	0	"0"	"BDM"
746211	7462111	2010	0.125	0.25	0.25	0.125	0	0	0	0.25	0	0	0	NA	0	0.125	0.5	0.375	0	"0"	"BDM"
764163	7641631	2010	0.25	0.25	0.25	0.125	0	0	0.125	0	0	0	0	NA	0	0	0.625	0.375	0	"0"	"BDM"
770187	7701871	2010	0	0.375	0.25	0.125	0	0.125	0.125	0	0	0	0	NA	0	0.25	0.5	0.25	0	"0"	"BDM"
782195	7821951	2010	0.125	0.25	0.25	0.125	0	0	0.25	0	0	0	0	NA	0	0	0.5	0.5	0	"0"	"BDM"
638179	6381791	2010	0.125	0.125	0.375	0.125	0	0	0.25	0	0	0	0	NA	0.375	0.375	0.25	0	0	"0"	"BDM"
692195	6921951	2010	0.125	0.25	0.25	0.125	0	0	0	0.25	0	0	0	NA	0	0.125	0.375	0.375	0.125	"0"	"BDM"
710107	7101071	2010	0.25	0.25	0.25	0	0	0	0	0.25	0	0	0	NA	0	0	0.5	0.5	0	"0"	"BDM"
710147	7101471	2010	0.125	0.25	0.125	0.125	0.125	0	0.25	0	0	0	0	NA	0	0	0.75	0.25	0	"0"	"BDM"
722195	7221951	2010	0.125	0.375	0.375	0.125	0	0	0	0	0	0	0	NA	0	0	0.375	0.25	0.375	"0"	"BDM"
746171	7461711	2010	0.125	0.125	0.25	0.125	0	0.125	0.25	0	0	0	0	NA	0.75	0.25	0	0	0	"0"	"BDM"
752155	7521551	2010	0.125	0.25	0.125	0.125	0	0.125	0.25	0	0	0	0	NA	0.25	0.5	0.25	0	0	"0"	"BDM"
806131	8061311	2010	0.25	0.25	0.125	0	0	0	0	0.375	0	0	0	NA	0	0.125	0.5	0.375	0	"0"	"BDM"
818179	8181791	2010	0.125	0.375	0.375	0.125	0	0	0	0	0	0	0	NA	0	0.375	0.375	0.25	0	"0"	"BDM"
590107	5901071	2010	0.125	0.25	0.25	0.125	0.125	0	0.125	0	0	0	0	NA	0	0.5	0.25	0.25	0	"0"	"BDM"
608099	6080991	2010	0.125	0.375	0.25	0.125	0.125	0	0	0	0	0	0	NA	0	0.125	0.375	0.5	0	"0"	"BDM"
626131	6261311	2010	0.125	0.25	0.25	0	0	0	0.25	0.125	0	0	0	NA	0	0.25	0.75	0	0	"0"	"BDM"
632155	6321551	2010	0.125	0.25	0.25	0.25	0.125	0	0	0	0	0	0	NA	0.125	0.375	0.375	0.125	0	"0"	"BDM"
650107	6501071	2010	0.125	0.25	0.25	0.125	0.125	0.125	0	0	0	0	0	NA	0.125	0.125	0.625	0.125	0	"0"	"BDM"
656131	6561311	2010	0.125	0.25	0.25	0.125	0	0	0	0.25	0	0	0	NA	0	0.125	0.375	0.5	0	"0"	"BDM"
680147	6801471	2010	0.25	0	0.375	0	0	0	0	0.375	0	0	0	NA	0	0.25	0.375	0.375	0	"0"	"BDM"
704163	7041631	2010	0.25	0.375	0.375	0	0	0	0	0	0	0	0	NA	0	0	0.375	0.375	0.25	"0"	"BDM"
722155	7221551	2010	0.125	0.25	0.25	0.25	0.125	0	0	0	0	0	0	NA	0	0.25	0.375	0.375	0	"0"	"BDM"
758139	7581391	2010	0.25	0.25	0.25	0.25	0	0	0	0	0	0	0	NA	0	0.125	0.5	0.375	0	"0"	"BDM"
770147	7701471	2010	0.125	0.375	0.25	0.125	0	0	0	0.125	0	0	0	NA	0	0	0.5	0.375	0.125	"0"	"BDM"
776171	7761711	2010	0.125	0.25	0.25	0	0	0	0	0.25	0	0	0.125	NA	0	0	0.625	0.375	0	"0"	"BDM"
776211	7762111	2010	0.25	0.25	0.375	0	0	0	0	0.125	0	0	0	NA	0	0	0.375	0.25	0.375	"0"	"BDM"
782155	7821551	2010	0.125	0.5	0.25	0.125	0	0	0	0	0	0	0	NA	0	0	0.5	0.5	0	"0"	"BDM"
788179	7881791	2010	0.25	0.25	0.25	0	0	0	0	0.25	0	0	0	NA	0	0	0.5	0.5	0	"0"	"BDM"
794163	7941631	2010	0.125	0.25	0.25	0.125	0	0	0	0.25	0	0	0	NA	0	0	0.625	0.375	0	"0"	"BDM"
824203	8242031	2010	0.125	0.375	0.375	0	0	0	0.125	0	0	0	0	NA	0	0.125	0.625	0.25	0	"0"	"BDM"
500123	5001231	2011	0.125	0.25	0.125	0.125	0.125	0.125	0.125	0	0	0	0	NA	0	0.5	0.5	0	0	"0"	"BDM"
530163	5301631	2011	0	0.25	0.125	0.125	0.125	0.125	0.25	0	0	0	0	NA	0.125	0.5	0.375	0	0	"0"	"BDM"
542171	5421711	2011	0.125	0.25	0.125	0.125	0.125	0.125	0.125	0	0	0	0	NA	0	0.5	0.5	0	0	"0"	"BDM"
548155	5481551	2011	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0	NA	0	0.5	0.5	0	0	"0"	"BDM"
572131	5721311	2011	0.125	0.125	0.25	0.125	0.125	0	0.125	0.125	0	0	0	NA	0.25	0.25	0.5	0	0	"0"	"BDM"
572211	5722111	2011	0.125	0.25	0.25	0.125	0	0	0.125	0	0	0	0.125	NA	0.75	0.25	0	0	0	"0"	"BDM"
572251	5722511	2011	0.125	0	0.25	0.125	0	0	0.125	0.25	0	0	0.125	NA	0.25	0.375	0.375	0	0	"0"	"BDM"
584099	5840991	2011	0.125	0.25	0.25	0.125	0.125	0	0.125	0	0	0	0	NA	0.125	0.25	0.25	0.375	0	"0"	"BDM"
584139	5841391	2011	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0	NA	0.125	0.375	0.375	0.125	0	"0"	"BDM"
590163	5901631	2011	0	0	0	0.125	0.375	0.25	0	0	0.25	0	0	NA	1	0	0	0	0	"0"	"BDM"
590203	5902031	2011	0	0	0.25	0.25	0.25	0	0.25	0	0	0	0	NA	0.125	0.5	0.375	0	0	"0"	"BDM"
590243	5902431	2011	0	0.125	0.25	0.125	0	0	0.25	0.25	0	0	0	NA	0.125	0.25	0.5	0.125	0	"0"	"BDM"
596107	5961071	2011	0.125	0.25	0.25	0.125	0.125	0	0.125	0	0	0	0	NA	0	0.25	0.375	0.375	0	"0"	"BDM"
596147	5961471	2011	0.125	0.25	0.25	0.125	0.125	0.125	0	0	0	0	0	NA	0.125	0	0.625	0.25	0	"0"	"BDM"
596187	5961871	2011	0	0	0.25	0.25	0	0.25	0.25	0	0	0	0	NA	0.5	0.5	0	0	0	"0"	"BDM"
602131	6021311	2011	0.125	0.125	0.25	0.125	0.125	0	0.125	0.125	0	0	0	NA	0.25	0.375	0.375	0	0	"0"	"BDM"
602171	6021711	2011	0.125	0.125	0.25	0.125	0	0	0.125	0.25	0	0	0	NA	0.125	0.625	0.25	0	0	"0"	"BDM"
602251	6022511	2011	0	0.375	0.375	0.25	0	0	0	0	0	0	0	NA	0	0.375	0.375	0.25	0	"0"	"BDM"
608115	6081151	2011	0	0.25	0.125	0.25	0.125	0.125	0	0.125	0	0	0	NA	0	0.125	0.875	0	0	"0"	"BDM"
608195	6081951	2011	0.125	0.125	0.125	0.25	0.125	0.125	0.125	0	0	0	0	NA	0.375	0.375	0.25	0	0	"0"	"BDM"
614219	6142191	2011	0.25	0	0	0	0.125	0	0.375	0.25	0	0	0	NA	0	0.375	0.5	0.125	0	"0"	"BDM"
614259	6142591	2011	0.125	0.375	0.25	0.25	0	0	0	0	0	0	0	NA	0.25	0.375	0.375	0	0	"0"	"BDM"
620123	6201231	2011	0.125	0.25	0.125	0.125	0.125	0.125	0.125	0	0	0	0	NA	0.25	0.25	0.375	0.125	0	"0"	"BDM"
620203	6202031	2011	0.125	0.125	0.25	0.125	0.125	0	0.125	0.125	0	0	0	NA	0.125	0.5	0.375	0	0	"0"	"BDM"
620243	6202431	2011	0	0.25	0.25	0.125	0	0	0.25	0.125	0	0	0	NA	0.25	0.25	0.5	0	0	"0"	"BDM"
626107	6261071	2011	0.125	0.25	0.125	0.125	0.125	0.125	0.125	0	0	0	0	NA	0.125	0.25	0.5	0.125	0	"0"	"BDM"
626187	6261871	2011	0	0.125	0.375	0.25	0.125	0	0.125	0	0	0	0	NA	0.375	0.625	0	0	0	"0"	"BDM"
626227	6262271	2011	0	0.125	0.25	0.125	0.25	0	0	0.125	0.125	0	0	NA	0.25	0.5	0.25	0	0	"0"	"BDM"
626267	6262671	2011	0.25	0.25	0.25	0.25	0	0	0	0	0	0	0	NA	0.25	0.125	0.375	0.25	0	"0"	"BDM"
632211	6322111	2011	0	0.125	0.375	0.125	0.125	0.125	0.125	0	0	0	0	NA	0.5	0.25	0.25	0	0	"0"	"BDM"
632251	6322511	2011	0.125	0.25	0.25	0.125	0	0	0.125	0.125	0	0	0	NA	0	0.375	0.625	0	0	"0"	"BDM"
638195	6381951	2011	0.125	0.25	0.25	0.25	0.125	0	0	0	0	0	0	NA	0.125	0.125	0.5	0.25	0	"0"	"BDM"
638235	6382351	2011	0.125	0.25	0.25	0	0	0	0.125	0	0	0	0.25	NA	0	0	0.5	0.5	0	"0"	"BDM"
644099	6440991	2011	0.125	0.25	0.25	0.25	0.125	0	0	0	0	0	0	NA	0	0.25	0.5	0.25	0	"0"	"BDM"
644139	6441391	2011	0.125	0.25	0.25	0.25	0.125	0	0	0	0	0	0	NA	0	0.25	0.5	0.25	0	"0"	"BDM"
644179	6441791	2011	0.125	0.25	0.25	0.25	0	0	0	0.125	0	0	0	NA	0.125	0.125	0.5	0.25	0	"0"	"BDM"
644219	6442191	2011	0	0	0.375	0.125	0.25	0	0.125	0.125	0	0	0	NA	0.5	0.375	0.125	0	0	"0"	"BDM"
650163	6501631	2011	0.25	0.375	0.375	0	0	0	0	0	0	0	0	NA	0	0.25	0.375	0.375	0	"0"	"BDM"
650203	6502031	2011	0.125	0.125	0.25	0.125	0.125	0	0.25	0	0	0	0	NA	0.625	0.375	0	0	0	"0"	"BDM"
650243	6502431	2011	0	0	0.125	0.375	0.375	0	0.125	0	0	0	0	NA	0.25	0.25	0.5	0	0	"0"	"BDM"
656147	6561471	2011	0.25	0.25	0.25	0	0	0	0	0.25	0	0	0	NA	0	0	0.5	0.5	0	"0"	"BDM"
656187	6561871	2011	0	0.375	0.375	0.25	0	0	0	0	0	0	0	NA	0	0.375	0.375	0.25	0	"0"	"BDM"
656227	6562271	2011	0	0	0	0	0.25	0	0	0	0.375	0	0.375	NA	0	0.375	0.625	0	0	"0"	"BDM"
662251	6622511	2011	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0	NA	0	0.5	0.5	0	0	"0"	"BDM"
668155	6681551	2011	0.125	0.25	0.25	0.25	0.125	0	0	0	0	0	0	NA	0	0.125	0.5	0.375	0	"0"	"BDM"
668235	6682351	2011	0.125	0.25	0.25	0.125	0	0	0.25	0	0	0	0	NA	0	0.25	0.375	0.375	0	"0"	"BDM"
674179	6741791	2011	0.125	0.25	0.25	0.25	0.125	0	0	0	0	0	0	NA	0	0.25	0.5	0.25	0	"0"	"BDM"
674219	6742191	2011	0.125	0.25	0.25	0.125	0.125	0	0.125	0	0	0	0	NA	0.25	0.25	0.5	0	0	"0"	"BDM"
680123	6801231	2011	0.375	0.375	0.25	0	0	0	0	0	0	0	0	NA	0	0	0.625	0.25	0.125	"0"	"BDM"
680243	6802431	2011	0	0.25	0.25	0.125	0.125	0	0.25	0	0	0	0	NA	0	0.625	0.375	0	0	"0"	"BDM"
680283	6802831	2011	0.25	0.125	0	0	0.25	0	0.375	0	0	0	0	NA	0.125	0.375	0.5	0	0	"0"	"BDM"
686187	6861871	2011	0.125	0.25	0.25	0.25	0.125	0	0	0	0	0	0	NA	0	0.125	0.5	0.375	0	"0"	"BDM"
686267	6862671	2011	0.125	0	0.25	0.125	0.125	0	0.375	0	0	0	0	NA	0	0.5	0.5	0	0	"0"	"BDM"
692131	6921311	2011	0.125	0.125	0.125	0.125	0	0	0.125	0.125	0	0.125	0.125	NA	0.125	0.375	0.5	0	0	"0"	"BDM"
692211	6922111	2011	0.125	0	0.25	0.125	0.125	0	0.25	0.125	0	0	0	NA	0.5	0.375	0.125	0	0	"0"	"BDM"
698115	6981151	2011	0.125	0.25	0.25	0.25	0.125	0	0	0	0	0	0	NA	0.125	0.125	0.5	0.25	0	"0"	"BDM"
698155	6981551	2011	0.125	0.25	0.125	0.125	0.125	0	0.125	0.125	0	0	0	NA	0.125	0.25	0.5	0.125	0	"0"	"BDM"
698235	6982351	2011	0.125	0.25	0.125	0.125	0	0.125	0.125	0.125	0	0	0	NA	0	0.25	0.75	0	0	"0"	"BDM"
704179	7041791	2011	0.125	0.25	0.25	0.25	0.125	0	0	0	0	0	0	NA	0	0	0.625	0.375	0	"0"	"BDM"
704219	7042191	2011	0.125	0.25	0.25	0.125	0.125	0	0.125	0	0	0	0	NA	0	0.5	0.5	0	0	"0"	"BDM"
704259	7042591	2011	0.125	0	0.25	0.25	0	0	0	0	0.25	0	0.125	NA	0	0.375	0.625	0	0	"0"	"BDM"
710123	7101231	2011	0.25	0.375	0.25	0.125	0	0	0	0	0	0	0	NA	0	0.375	0.375	0.25	0	"0"	"BDM"
710243	7102431	2011	0.125	0.125	0.125	0.25	0.125	0	0.25	0	0	0	0	NA	0	0.375	0.625	0	0	"0"	"BDM"
716107	7161071	2011	0.25	0.25	0.25	0.125	0.125	0	0	0	0	0	0	NA	0	0	0.625	0.375	0	"0"	"BDM"
716187	7161871	2011	0.125	0.25	0.25	0.125	0	0	0	0.25	0	0	0	NA	0	0.25	0.625	0.125	0	"0"	"BDM"
716227	7162271	2011	0.25	0	0.125	0	0	0.25	0.375	0	0	0	0	NA	0	0	1	0	0	"0"	"BDM"
716267	7162671	2011	0	0	0.25	0.25	0.25	0	0.25	0	0	0	0	NA	0.125	0.5	0.375	0	0	"0"	"BDM"
722131	7221311	2011	0.25	0.25	0.25	0.25	0	0	0	0	0	0	0	NA	0	0.125	0.5	0.375	0	"0"	"BDM"
722171	7221711	2011	0.125	0.25	0.25	0.125	0	0	0	0.25	0	0	0	NA	0	0.125	0.5	0.375	0	"0"	"BDM"
722211	7222111	2011	0.125	0.25	0.125	0	0.125	0.125	0.25	0	0	0	0	NA	0	0.375	0.5	0.125	0	"0"	"BDM"
722251	7222511	2011	0.125	0.25	0.125	0.125	0	0	0.25	0.125	0	0	0	NA	0	0.25	0.75	0	0	"0"	"BDM"
728155	7281551	2011	0.125	0.25	0.25	0	0.125	0	0	0.25	0	0	0	NA	0	0.125	0.5	0.375	0	"0"	"BDM"
728195	7281951	2011	0.125	0.25	0.25	0.125	0.125	0.125	0	0	0	0	0	NA	0	0.125	0.625	0.25	0	"0"	"BDM"
728235	7282351	2011	0.125	0	0.25	0.25	0	0	0	0.25	0	0	0.125	NA	0	0.5	0.5	0	0	"0"	"BDM"
734179	7341791	2011	0.125	0.25	0.125	0.125	0.125	0.125	0.125	0	0	0	0	NA	0	0.5	0.5	0	0	"0"	"BDM"
734219	7342191	2011	0.25	0	0	0	0	0.25	0	0.25	0	0	0.25	NA	0	0.5	0.5	0	0	"0"	"BDM"
734259	7342591	2011	0	0.25	0.25	0.125	0	0.125	0.25	0	0	0	0	NA	0	0.5	0.5	0	0	"0"	"BDM"
740163	7401631	2011	0.25	0.25	0.25	0.25	0	0	0	0	0	0	0	NA	0	0.25	0.5	0.25	0	"0"	"BDM"
740203	7402031	2011	0.125	0.25	0.25	0	0	0.125	0	0.25	0	0	0	NA	0	0.25	0.625	0.125	0	"0"	"BDM"
740243	7402431	2011	0.125	0.25	0.25	0.25	0.125	0	0	0	0	0	0	NA	0	0.5	0.375	0.125	0	"0"	"BDM"
746187	7461871	2011	0.5	0	0	0.375	0	0	0.125	0	0	0	0	NA	0	0	1	0	0	"0"	"BDM"
746227	7462271	2011	0	0	0.375	0	0.25	0	0.375	0	0	0	0	NA	0.375	0.375	0.25	0	0	"0"	"BDM"
746267	7462671	2011	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0	0.125	NA	0.125	0.125	0.75	0	0	"0"	"BDM"
752171	7521711	2011	0.125	0.25	0.375	0.125	0	0.125	0	0	0	0	0	NA	0	0.125	0.875	0	0	"0"	"BDM"
752211	7522111	2011	0.5	0	0	0	0	0	0.5	0	0	0	0	NA	0	1	0	0	0	"0"	"BDM"
752251	7522511	2011	0	0.25	0.25	0.25	0.25	0	0	0	0	0	0	NA	0.125	0.5	0.375	0	0	"0"	"BDM"
758195	7581951	2011	0.25	0.25	0.125	0.125	0.125	0.125	0	0	0	0	0	NA	0	0.25	0.625	0.125	0	"0"	"BDM"
764139	7641391	2011	0.125	0.25	0.125	0.25	0	0.125	0.125	0	0	0	0	NA	0.125	0.125	0.625	0.125	0	"0"	"BDM"
776187	7761871	2011	0.125	0.25	0.25	0.25	0	0	0	0	0	0	0.125	NA	0	0.125	0.625	0.25	0	"0"	"BDM"
794179	7941791	2011	0.25	0.25	0.25	0.25	0	0	0	0	0	0	0	NA	0	0	0.5	0.5	0	"0"	"BDM"
806187	8061871	2011	0.125	0.25	0.25	0.25	0.125	0	0	0	0	0	0	NA	0	0	0.625	0.375	0	"0"	"BDM"
812171	8121711	2011	0.125	0.375	0.375	0.125	0	0	0	0	0	0	0	NA	0	0	0.375	0.5	0.125	"0"	"BDM"
818195	8181951	2011	0.125	0.5	0.375	0	0	0	0	0	0	0	0	NA	0	0.25	0.5	0.25	0	"0"	"BDM"
824179	8241791	2011	0.125	0.5	0.375	0	0	0	0	0	0	0	0	NA	0	0.25	0.5	0.25	0	"0"	"BDM"
830163	8301631	2011	0.125	0.25	0.25	0	0	0	0	0.375	0	0	0	NA	0	0.25	0.5	0.25	0	"0"	"BDM"
830203	8302031	2011	0.125	0.25	0.25	0.25	0.125	0	0	0	0	0	0	NA	0	0	0.625	0.375	0	"0"	"BDM"
728115	7281151	2011	0.125	0	0.375	0	0	0	0.25	0.25	0	0	0	NA	0	0.125	0.625	0.25	0	"0"	"BDM"
524155	5241551	2012	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0	NA	0	0.25	0.75	0	0	"0"	"BDM"
536163	5361631	2012	0.125	0.25	0.125	0.125	0.125	0.125	0.125	0	0	0	0	NA	0	0.5	0.5	0	0	"0"	"BDM"
