"aIdstao"	"aIdbeob"	"Jahr"	"natural_artifical_surfaces"	"mobile_blocks"	"coarse_inorganic_sediments"	"gravel"	"sand_silt"	"fine_sediments"	"coarse_organic_matter"	"covclass_mobile_blocks"	"covclass_moss"	"covclass_hydrophytes"	"covclass_coarse_organic_matter"	"covclass_coarse_inorganic_sediments"	"covclass_gravel"	"covclass_helophytes"	"covclass_fine_sediments"	"covclass_sand_silt"	"covclass_natural_artifical_surfaces"	"covclass_algae_clay"	"normcov_mobile_blocks"	"normcov_moss"	"normcov_hydrophytes"	"normcov_coarse_organic_matter"	"normcov_coarse_inorganic_sediments"	"normcov_gravel"	"normcov_helophytes"	"normcov_fine_sediments"	"normcov_sand_silt"	"normcov_natural_artifical_surfaces"	"normcov_algae_clay"	"error"
620187	6201871	2010	0	0	0.25	0	0	0.125	0.625	NA	NA	NA	1	4	1	NA	1	1	NA	NA	0	0	0	0.0342857142857143	0.862857142857143	0.0342857142857143	0	0.0342857142857143	0.0342857142857143	0	0	NA
626211	6262111	2010	0	0	0.125	0.125	0.125	0.125	0.25	1	1	NA	3	3	3	2	3	2	NA	NA	0.0208333333333333	0.0208333333333333	0	0.211805555555556	0.211805555555556	0.211805555555556	0.0555555555555556	0.211805555555556	0.0555555555555556	0	0	NA
632195	6321951	2010	0	0.25	0.25	0.125	0.125	0	0.125	1	NA	1	1	4	1	NA	NA	1	1	2	0.0295566502463054	0	0.0295566502463054	0.0295566502463054	0.74384236453202	0.0295566502463054	0	0	0.0295566502463054	0.0295566502463054	0.0788177339901478	NA
638219	6382191	2010	0.125	0	0.125	0.125	0.125	0.125	0.25	NA	NA	NA	3	4	3	2	3	3	2	NA	0	0	0	0.142857142857143	0.353629976580796	0.142857142857143	0.0374707259953162	0.142857142857143	0.142857142857143	0.0374707259953162	0	NA
644163	6441631	2010	0.125	0.125	0.25	0.25	0	0	0	2	1	NA	NA	2	3	NA	NA	NA	1	NA	0.152380952380952	0.0571428571428571	0	0	0.152380952380952	0.580952380952381	0	0	0	0.0571428571428571	0	NA
644203	6442031	2010	0.25	0.25	0.25	0.25	0	0	0	1	NA	NA	1	4	1	NA	NA	1	2	NA	0.031413612565445	0	0	0.031413612565445	0.790575916230366	0.031413612565445	0	0	0.031413612565445	0.0837696335078534	0	NA
698219	6982191	2011	0	0	0.125	0.125	0.125	0.125	0.125	NA	3	1	1	3	4	NA	1	1	NA	1	0	0.201320132013201	0.0198019801980198	0.0198019801980198	0.201320132013201	0.498349834983498	0	0.0198019801980198	0.0198019801980198	0	0.0198019801980198	NA
716131	7161311	2010	0.125	0.125	0.125	0.125	0.125	0	0.25	3	NA	NA	2	4	3	NA	NA	2	3	NA	0.166666666666667	0	0	0.0437158469945355	0.412568306010929	0.166666666666667	0	0	0.0437158469945355	0.166666666666667	0	NA
716251	7162511	2010	0.125	0.125	0.25	0.125	0.125	0	0.125	1	1	NA	1	4	3	NA	NA	2	2	NA	0.0229007633587786	0.0229007633587786	0	0.0229007633587786	0.576335877862595	0.232824427480916	0	0	0.0610687022900763	0.0610687022900763	0	NA
722235	7222351	2010	0.125	0.25	0.125	0.125	0.125	0	0.125	2	3	NA	1	3	2	NA	NA	1	4	NA	0.0504731861198738	0.192429022082019	0	0.0189274447949527	0.192429022082019	0.0504731861198738	0	0	0.0189274447949527	0.476340694006309	0	NA
728219	7282191	2010	0.125	0.25	0.25	0.25	0	0	0.125	3	NA	NA	1	3	2	NA	NA	NA	3	NA	0.297560975609756	0	0	0.0292682926829268	0.297560975609756	0.0780487804878049	0	0	0	0.297560975609756	0	NA
734243	7342431	2010	0.125	0.25	0.125	0.125	0.125	0	0.125	2	2	NA	1	3	1	NA	NA	4	2	NA	0.0588235294117647	0.0588235294117647	0	0.0220588235294118	0.224264705882353	0.0220588235294118	0	0	0.555147058823529	0.0588235294117647	0	NA
746251	7462511	2010	0	0.25	0.25	0.125	0.125	0	0.25	3	NA	NA	2	3	1	NA	NA	2	NA	NA	0.38125	0	0	0.1	0.38125	0.0375	0	0	0.1	0	0	NA
560147	5601471	2010	0.125	0.25	0.125	0.125	0	0	0.125	2	1	NA	1	4	1	NA	NA	NA	3	NA	0.0650406504065041	0.024390243902439	0	0.024390243902439	0.613821138211382	0.024390243902439	0	0	0	0.247967479674797	0	NA
578139	5781391	2010	0.125	0.25	0.125	0.125	0	0	0.125	1	1	NA	1	2	1	NA	NA	NA	4	NA	0.031413612565445	0.031413612565445	0	0.031413612565445	0.0837696335078534	0.031413612565445	0	0	0	0.790575916230366	0	NA
584123	5841231	2010	0.125	0.25	0.125	0.125	0.125	0.125	0.125	4	NA	NA	1	3	1	NA	1	2	3	NA	0.49185667752443	0	0	0.0195439739413681	0.198697068403909	0.0195439739413681	0	0.0195439739413681	0.0521172638436482	0.198697068403909	0	NA
590147	5901471	2010	0	0.25	0.25	0.25	0	0.125	0.125	3	NA	NA	1	3	2	NA	2	NA	NA	NA	0.38125	0	0	0.0375	0.38125	0.1	0	0.1	0	0	0	NA
596171	5961711	2010	0	0.25	0.25	0.125	0	0	0.25	3	1	NA	1	4	3	NA	NA	NA	NA	NA	0.214035087719298	0.0210526315789474	0	0.0210526315789474	0.529824561403509	0.214035087719298	0	0	0	0	0	NA
602155	6021551	2010	0	0.25	0.25	0.25	0	0	0.125	3	1	NA	1	3	2	NA	NA	NA	NA	NA	0.406666666666667	0.04	0	0.04	0.406666666666667	0.106666666666667	0	0	0	0	0	NA
650187	6501871	2010	0.125	0.25	0.125	0.125	0.125	0	0.25	1	1	NA	2	3	1	NA	NA	1	3	NA	0.037037037037037	0.037037037037037	0	0.0987654320987654	0.376543209876543	0.037037037037037	0	0	0.037037037037037	0.376543209876543	0	NA
656171	6561711	2010	0.25	0.375	0.25	0.125	0	0	0	1	0.01	NA	0.01	3	1	NA	NA	0.01	3	NA	0.0447761194029851	0	0	0	0.455223880597015	0.0447761194029851	0	0	0	0.455223880597015	0	NA
692115	6921151	2010	0.125	0.25	0.25	0.125	0	0	0.25	1	NA	NA	1	4	2	NA	NA	NA	1	NA	0.0324324324324324	0	0	0.0324324324324324	0.816216216216216	0.0864864864864865	0	0	0	0.0324324324324324	0	NA
692155	6921551	2010	0.125	0.25	0.125	0	0.125	0	0.125	4	1	NA	1	3	1	NA	NA	1	3	NA	0.508417508417508	0.0202020202020202	0	0.0202020202020202	0.205387205387205	0.0202020202020202	0	0	0.0202020202020202	0.205387205387205	0	NA
716171	7161711	2010	0.25	0.25	0.25	0.125	0.125	0	0	4	NA	NA	NA	2	2	NA	2	3	3	NA	0.470404984423676	0	0	0	0.0498442367601246	0.0498442367601246	0	0.0498442367601246	0.190031152647975	0.190031152647975	0	NA
728179	7281791	2010	0	0.375	0.25	0.25	0.125	0	0	3	NA	NA	1	3	2	NA	NA	2	NA	NA	0.38125	0	0	0.0375	0.38125	0.1	0	0	0.1	0	0	NA
746211	7462111	2010	0.125	0.25	0.25	0.125	0	0	0	3	1	NA	NA	3	1	NA	NA	NA	3	NA	0.312820512820513	0.0307692307692308	0	0	0.312820512820513	0.0307692307692308	0	0	0	0.312820512820513	0	NA
764163	7641631	2010	0.25	0.25	0.25	0.125	0	0	0.125	3	NA	NA	1	3	2	NA	NA	NA	3	1	0.289099526066351	0	0	0.028436018957346	0.289099526066351	0.0758293838862559	0	0	0	0.289099526066351	0.028436018957346	NA
770187	7701871	2010	0	0.375	0.25	0.125	0	0.125	0.125	4	NA	NA	1	3	1	NA	NA	2	NA	NA	0.629166666666667	0	0	0.025	0.254166666666667	0.025	0	0	0.0666666666666667	0	0	NA
782195	7821951	2010	0.125	0.25	0.25	0.125	0	0	0.25	3	NA	NA	2	4	2	NA	NA	NA	1	NA	0.244	0	0	0.064	0.604	0.064	0	0	0	0.024	0	NA
638179	6381791	2010	0.125	0.125	0.375	0.125	0	0	0.25	1	1	NA	1	4	2	NA	NA	1	2	NA	0.0289855072463768	0.0289855072463768	0	0.0289855072463768	0.729468599033816	0.0772946859903382	0	0	0.0289855072463768	0.0772946859903382	0	NA
692195	6921951	2010	0.125	0.25	0.25	0.125	0	0	0	1	2	NA	NA	1	1	NA	NA	NA	4	NA	0.0324324324324324	0.0864864864864865	0	0	0.0324324324324324	0.0324324324324324	0	0	0	0.816216216216216	0	NA
710107	7101071	2010	0.25	0.25	0.25	0	0	0	0	3	2	NA	1	2	NA	NA	NA	NA	3	NA	0.38125	0.1	0	0.0375	0.1	0	0	0	0	0.38125	0	NA
710147	7101471	2010	0.125	0.25	0.125	0.125	0.125	0	0.25	3	NA	NA	1	3	3	NA	NA	1	2	NA	0.289099526066351	0	0	0.028436018957346	0.289099526066351	0.289099526066351	0	0	0.028436018957346	0.0758293838862559	0	NA
722195	7221951	2010	0.125	0.375	0.375	0.125	0	0	0	4	NA	NA	NA	3	1	NA	NA	NA	1	NA	0.674107142857143	0	0	0	0.272321428571429	0.0267857142857143	0	0	0	0.0267857142857143	0	NA
746171	7461711	2010	0.125	0.125	0.25	0.125	0	0.125	0.25	1	NA	NA	3	4	3	NA	3	NA	1	NA	0.0173410404624277	0	0	0.176300578034682	0.436416184971098	0.176300578034682	0	0.176300578034682	0	0.0173410404624277	0	NA
752155	7521551	2010	0.125	0.25	0.125	0.125	0	0.125	0.25	3	NA	NA	3	3	1	NA	3	NA	3	NA	0.196141479099678	0	0	0.196141479099678	0.196141479099678	0.0192926045016077	0	0.196141479099678	0	0.196141479099678	0	NA
806131	8061311	2010	0.25	0.25	0.125	0	0	0	0	3	2	NA	NA	2	NA	NA	NA	NA	4	NA	0.25	0.0655737704918033	0	0	0.0655737704918033	0	0	0	0	0.618852459016393	0	NA
818179	8181791	2010	0.125	0.375	0.375	0.125	0	0	0	3	NA	NA	NA	3	3	NA	2	2	2	NA	0.264069264069264	0	0	0	0.264069264069264	0.264069264069264	0	0.0692640692640693	0.0692640692640693	0.0692640692640693	0	NA
590107	5901071	2010	0.125	0.25	0.25	0.125	0.125	0	0.125	4	NA	NA	1	4	1	NA	NA	1	4	NA	0.320594479830149	0	0	0.0127388535031847	0.320594479830149	0.0127388535031847	0	0	0.0127388535031847	0.320594479830149	0	NA
608099	6080991	2010	0.125	0.375	0.25	0.125	0.125	0	0	4	NA	NA	NA	4	2	NA	NA	2	2	NA	0.431428571428571	0	0	0	0.431428571428571	0.0457142857142857	0	0	0.0457142857142857	0.0457142857142857	0	NA
626131	6261311	2010	0.125	0.25	0.25	0	0	0	0.25	4	2	NA	4	4	NA	NA	NA	NA	2	NA	0.311340206185567	0.0329896907216495	0	0.311340206185567	0.311340206185567	0	0	0	0	0.0329896907216495	0	NA
632155	6321551	2010	0.125	0.25	0.25	0.25	0.125	0	0	2	NA	NA	NA	4	2	NA	NA	1	1	NA	0.0820512820512821	0	0	0	0.774358974358974	0.0820512820512821	0	0	0.0307692307692308	0.0307692307692308	0	NA
650107	6501071	2010	0.125	0.25	0.25	0.125	0.125	0.125	0	4	NA	NA	NA	3	2	NA	2	2	4	NA	0.367396593673966	0	0	0	0.148418491484185	0.0389294403892944	0	0.0389294403892944	0.0389294403892944	0.367396593673966	0	NA
656131	6561311	2010	0.125	0.25	0.25	0.125	0	0	0	4	1	NA	NA	3	NA	NA	NA	NA	4	NA	0.409214092140921	0.016260162601626	0	0	0.165311653116531	0	0	0	0	0.409214092140921	0	NA
680147	6801471	2010	0.25	0	0.375	0	0	0	0	NA	2	NA	NA	4	1	NA	NA	NA	4	NA	0	0.0493827160493827	0	0	0.466049382716049	0.0185185185185185	0	0	0	0.466049382716049	0	NA
704163	7041631	2010	0.25	0.375	0.375	0	0	0	0	3	1	NA	NA	2	1	NA	NA	NA	4	NA	0.254166666666667	0.025	0	0	0.0666666666666667	0.025	0	0	0	0.629166666666667	0	NA
722155	7221551	2010	0.125	0.25	0.25	0.25	0.125	0	0	3	NA	NA	NA	3	3	NA	NA	3	3	NA	0.2	0	0	0	0.2	0.2	0	0	0.2	0.2	0	NA
758139	7581391	2010	0.25	0.25	0.25	0.25	0	0	0	3	1	NA	1	3	2	NA	NA	1	3	NA	0.28110599078341	0.0276497695852535	0	0.0276497695852535	0.28110599078341	0.0737327188940092	0	0	0.0276497695852535	0.28110599078341	0	NA
770147	7701471	2010	0.125	0.375	0.25	0.125	0	0	0	3	2	NA	NA	3	2	NA	NA	NA	NA	NA	0.396103896103896	0.103896103896104	0	0	0.396103896103896	0.103896103896104	0	0	0	0	0	NA
776171	7761711	2010	0.125	0.25	0.25	0	0	0	0	2	1	NA	NA	1	NA	NA	NA	NA	4	NA	0.0893854748603352	0.0335195530726257	0	0	0.0335195530726257	0	0	0	0	0.843575418994413	0	NA
776211	7762111	2010	0.25	0.25	0.375	0	0	0	0	3	3	NA	NA	1	NA	NA	NA	NA	3	NA	0.322751322751323	0.322751322751323	0	0	0.0317460317460318	0	0	0	0	0.322751322751323	0	NA
782155	7821551	2010	0.125	0.5	0.25	0.125	0	0	0	3	NA	NA	NA	2	2	NA	NA	NA	2	3	0.358823529411765	0	0	0	0.0941176470588235	0.0941176470588235	0	0	0	0.0941176470588235	0.358823529411765	NA
788179	7881791	2010	0.25	0.25	0.25	0	0	0	0	3	1	NA	NA	3	NA	NA	NA	NA	3	NA	0.322751322751323	0.0317460317460318	0	0	0.322751322751323	0	0	0	0	0.322751322751323	0	NA
794163	7941631	2010	0.125	0.25	0.25	0.125	0	0	0	2	2	NA	NA	2	1	NA	NA	1	4	NA	0.0758293838862559	0.0758293838862559	0	0	0.0758293838862559	0.028436018957346	0	0	0.028436018957346	0.71563981042654	0	NA
824203	8242031	2010	0.125	0.375	0.375	0	0	0	0.125	3	NA	NA	2	3	NA	NA	NA	NA	2	NA	0.396103896103896	0	0	0.103896103896104	0.396103896103896	0	0	0	0	0.103896103896104	0	NA
500123	5001231	2011	0.125	0.25	0.125	0.125	0.125	0.125	0.125	1	NA	NA	1	3	2	NA	NA	1	1	3	0.037037037037037	0	0	0.037037037037037	0.376543209876543	0.0987654320987654	0	0	0.037037037037037	0.037037037037037	0.376543209876543	NA
530163	5301631	2011	0	0.25	0.125	0.125	0.125	0.125	0.25	3	NA	NA	2	3	1	NA	1	2	NA	NA	0.367469879518072	0	0	0.0963855421686747	0.367469879518072	0.036144578313253	0	0.036144578313253	0.0963855421686747	0	0	NA
542171	5421711	2011	0.125	0.25	0.125	0.125	0.125	0.125	0.125	3	NA	NA	1	4	1	NA	3	2	1	NA	0.198697068403909	0	0	0.0195439739413681	0.49185667752443	0.0195439739413681	0	0.198697068403909	0.0521172638436482	0.0195439739413681	0	NA
548155	5481551	2011	0.125	0.125	0.125	0.125	0.125	0.125	0.125	1	NA	NA	1	2	2	NA	1	1	4	NA	0.0289855072463768	0	0	0.0289855072463768	0.0772946859903382	0.0772946859903382	0	0.0289855072463768	0.0289855072463768	0.729468599033816	0	NA
572131	5721311	2011	0.125	0.125	0.25	0.125	0.125	0	0.125	1	3	NA	1	3	1	NA	NA	1	4	NA	0.0202020202020202	0.205387205387205	0	0.0202020202020202	0.205387205387205	0.0202020202020202	0	0	0.0202020202020202	0.508417508417508	0	NA
572211	5722111	2011	0.125	0.25	0.25	0.125	0	0	0.125	2	NA	NA	1	4	2	NA	NA	NA	1	3	0.0625	0	0	0.0234375	0.58984375	0.0625	0	0	0	0.0234375	0.23828125	NA
572251	5722511	2011	0.125	0	0.25	0.125	0	0	0.125	NA	2	NA	2	4	3	NA	NA	NA	1	2	0	0.0601503759398496	0	0.0601503759398496	0.567669172932331	0.229323308270677	0	0	0	0.0225563909774436	0.0601503759398496	NA
584099	5840991	2011	0.125	0.25	0.25	0.125	0.125	0	0.125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
584139	5841391	2011	0.125	0.125	0.125	0.125	0.125	0.125	0.125	3	1	NA	1	4	2	NA	1	1	1	NA	0.236434108527132	0.0232558139534884	0	0.0232558139534884	0.585271317829457	0.062015503875969	0	0.0232558139534884	0.0232558139534884	0.0232558139534884	0	NA
590163	5901631	2011	0	0	0	0.125	0.375	0.25	0	NA	NA	NA	1	NA	2	2	3	3	NA	NA	0	0	0	0.0375	0	0.1	0.1	0.38125	0.38125	0	0	NA
590203	5902031	2011	0	0	0.25	0.25	0.25	0	0.25	NA	NA	NA	1	2	2	NA	NA	2	NA	NA	0	0	0	0.111111111111111	0.296296296296296	0.296296296296296	0	0	0.296296296296296	0	0	NA
590243	5902431	2011	0	0.125	0.25	0.125	0	0	0.25	1	3	NA	1	4	2	NA	NA	NA	NA	NA	0.025	0.254166666666667	0	0.025	0.629166666666667	0.0666666666666667	0	0	0	0	0	NA
596107	5961071	2011	0.125	0.25	0.25	0.125	0.125	0	0.125	NA	NA	NA	NA	3	1	NA	NA	2	3	NA	0	0	0	0	0.423611111111111	0.0416666666666667	0	0	0.111111111111111	0.423611111111111	0	NA
596147	5961471	2011	0.125	0.25	0.25	0.125	0.125	0.125	0	3	NA	NA	NA	3	2	NA	1	1	3	NA	0.289099526066351	0	0	0	0.289099526066351	0.0758293838862559	0	0.028436018957346	0.028436018957346	0.289099526066351	0	NA
596187	5961871	2011	0	0	0.25	0.25	0	0.25	0.25	NA	NA	NA	3	3	1	NA	2	NA	NA	NA	0	0	0	0.423611111111111	0.423611111111111	0.0416666666666667	0	0.111111111111111	0	0	0	NA
602131	6021311	2011	0.125	0.125	0.25	0.125	0.125	0	0.125	2	1	NA	1	4	2	NA	NA	1	1	NA	0.0772946859903382	0.0289855072463768	0	0.0289855072463768	0.729468599033816	0.0772946859903382	0	0	0.0289855072463768	0.0289855072463768	0	NA
602171	6021711	2011	0.125	0.125	0.25	0.125	0	0	0.125	2	3	NA	1	3	1	NA	NA	NA	1	NA	0.102564102564103	0.391025641025641	0	0.0384615384615385	0.391025641025641	0.0384615384615385	0	0	0	0.0384615384615385	0	NA
602251	6022511	2011	0	0.375	0.375	0.25	0	0	0	2	1	NA	NA	4	2	NA	NA	2	1	NA	0.0758293838862559	0.028436018957346	0	0	0.71563981042654	0.0758293838862559	0	0	0.0758293838862559	0.028436018957346	0	NA
