""	"InS_Year"	"InS_Station.nb."	"InS_SiteId"	"InS_X"	"InS_Y"	"InS_SampId"	"InS_aIdstao"	"InS_aIdbeob"	"InS_BearbeiterIn"	"InS_Aufnahmetyp"	"InS_Abschnittslaenge"	"InS_Absturze"	"InS_Absturzhoehe"	"InS_Absturzmaterial"	"InS_Absturztyp"	"InS_Aeusserer.Aspekt"	"InS_BEWALGEN"	"InS_Bauhoehe"	"InS_Baumaterial"	"InS_Bauwerke"	"InS_Bem_Abfaelle"	"InS_Bem_Bewuchs"	"InS_Bem_Eisensulfid"	"InS_Bem_Geruch"	"InS_Bem_Schaum"	"InS_Bem_Schlamm"	"InS_Bem_Trubung"	"InS_Bem_Verfaerbung"	"InS_LUFBEBEW"	"InS_RUFBEBEW"	"InS_LBUKVER"	"InS_RBUKVER"	"InS_GSBREITE"	"InS_LBUKMAT"	"InS_RBUKMAT"	"InS_EINDOL"	"InS_BEWMAKRO"	"InS_SOHLMAT"	"InS_Moose"	"InS_OEKOMKLASSE_1"	"InS_MSK_Nr"	"InS_VNATABST"	"InS_Praesenz_Abfaelle"	"InS_Praesenz_Bewuchs"	"InS_Praesenz_Eisensulfid"	"InS_Praesenz_Feststoffe"	"InS_Praesenz_Geruch"	"InS_Praesenz_Kolmation"	"InS_Praesenz_Schaum"	"InS_Praesenz_Schlamm"	"InS_Praesenz_Trubung"	"InS_Praesenz_Verfaerbung"	"InS_SOHLVER"	"InS_GSTIEFE"	"InS_TIEFENVAR"	"InS_LUFBEBRE"	"InS_RUFBEBRE"	"InS_Ursache_Bewuchs"	"InS_Ursache_Eisensulfid"	"InS_Ursache_Geruch"	"InS_Ursache_Kolmation"	"InS_Ursache_Schaum"	"InS_Ursache_Schlamm"	"InS_Ursache_Trubung"	"InS_Ursache_Verfaerbung"	"InS_BREITENVAR"	"InS_SPEAR"	"InS_dominantes_Substrat"	"InS_Substrat_0"	"InS_Substrat_1"	"InS_Substrat_2"	"InS_Substrat_3"	"InS_Substrat_4"	"InS_Substrat_5"	"InS_Substrat_6"	"InS_Substrat_7"	"InS_Substrat_8"	"InS_Substrat_9"	"InS_Substrat_10"	"InS_Teilprobe_P1"	"InS_Teilprobe_P2"	"InS_Teilprobe_P3"	"InS_Teilprobe_P4"	"InS_Teilprobe_P5"	"InS_Teilprobe_P6"	"InS_Teilprobe_P7"	"InS_Teilprobe_P8"
"11"	2010	"584123"	"CSCF_584123"	"584757"	"124000"	"CSCF_584123_2010-05-18"	584123	5841231	"Menetrey Nathalie"	"Normalaufnahme_Z9"	50	"1"	15	"Fels/Stein"	"1"	1	"1"	320	"Brucke"	"1"	""	""	""	""	""	""	""	""	"1"	"3"	"1"	"4"	5	"1"	"1"	"0"	"1"	"1"	"1"	"Klasse II: wenig beeintraechtigt"	2.25	"0"	"keine"	"kein"	"0%"	"keine"	"kein"	"kein"	"kein"	"kein"	"kein"	"kein"	"1"	0.27	"1"	16	16	""	""	""	""	""	""	""	""	"1"	61.5	"10"	NA	3	2	1	NA	1	3	1	NA	NA	4	"s10v4"	"s10v5"	"s7v1"	"s6v4"	"s5v3"	"s3v3"	"s2v1"	"s1v5"
"12"	2010	"584243"	"CSCF_584243"	"584000"	"243405"	"CSCF_584243_2010-03-09"	584243	5842431	"Sandoz Emilie"	"Normalaufnahme_Z9"	30	"1"	10	"naturlich"	"1"	1	"2"	1000	"Brucke"	"1"	"Ferraille, tissus"	""	""	""	""	""	""	""	"2"	"2"	"2"	"5"	3	"1"	"1"	"0"	"1"	""	"1"	"Klasse III: stark beeintraechtigt"	6.25	"0"	"keine"	"kein"	"0%"	"vereinzelte"	"kein"	"leicht/mittel"	"kein"	"kein"	"leicht/mittel"	"kein"	"1"	0.2	"2"	2	2	""	""	""	"naturlich"	""	""	"naturlich"	""	"2"	16.12	"6"	2	1	2	NA	1	2	4	1	NA	1	1	"s10v5"	"s7v3"	"s6v5"	"s5v5"	"s4v3"	"s2v3"	"s1v5"	"s0v5"
"13"	2010	"590107"	"CSCF_590107"	"590000"	"107645"	"CSCF_590107_2010-06-23"	590107	5901071	"Menetrey Nathalie"	"Normalaufnahme_Z9"	25	"1"	100	"Fels/Stein"	"1"	0.694	"3"	NA	""	"0"	"tube plastiques, boite alu"	""	""	""	""	""	""	""	"1"	"2"	"1"	"1"	2.5	""	""	"0"	""	""	""	"Klasse II: wenig beeintraechtigt"	2.5	"1"	"vereinzelte"	"kein"	"0%"	"keine"	"kein"	"leicht/mittel"	"kein"	"kein"	"kein"	"kein"	"1"	0.18	"1"	3	3	""	""	""	""	""	""	""	""	"1"	28.35	"1"	NA	4	1	NA	NA	1	4	1	NA	NA	4	"s10v5"	"s10v3"	"s7v3"	"s6v4"	"s6v5"	"s5v3"	"s2v3"	"s1v4"
"14"	2010	"590147"	"CSCF_590147"	"591000"	"147114"	"CSCF_590147_2010-04-27"	590147	5901471	"Mulattieri Pascal"	"Normalaufnahme_Z9"	60	"1"	120	"Beton/Stein"	"2"	1	""	NA	""	"0"	""	""	""	""	""	""	""	""	"1"	"1"	"1"	"1"	6	""	""	"0"	""	""	""	"Klasse II: wenig beeintraechtigt"	3	"0"	""	"kein"	"0%"	"keine"	"kein"	"kein"	"kein"	"kein"	"kein"	"kein"	"1"	0.3	"1"	16	4	""	""	""	""	""	""	""	""	"2"	59.49	""	NA	NA	NA	2	NA	2	3	1	NA	NA	3	"s10v4"	"s10v5"	"s7v5"	"s6v4"	"s6v5"	"s5v4"	"s5v5"	"s3v3"
"15"	2010	"596171"	"CSCF_596171"	"596344"	"172000"	"CSCF_596171_2010-04-21"	596171	5961711	"Mulattieri Pascal"	"Normalaufnahme_Z9"	45	"0"	NA	""	"0"	0.722	"1"	NA	"Streichwehr"	"1"	""	"Abwassereinleitung"	""	""	""	""	""	""	"1"	"1"	"1"	"1"	4.5	""	""	"0"	""	""	"1"	"Klasse II: wenig beeintraechtigt"	2	"0"	"keine"	"wenig"	"0%"	"keine"	"kein"	"leicht/mittel"	"kein"	"kein"	"kein"	"kein"	"1"	0.1	"1"	3	1	""	""	""	"naturlich"	""	""	""	""	"1"	57.95	""	NA	NA	NA	NA	NA	3	4	1	NA	1	3	"s10v4"	"s10v5"	"s9v3"	"s7v4"	"s7v3"	"s6v4"	"s6v5"	"s5v5"
"16"	2010	"602155"	"CSCF_602155"	"602772"	"156000"	"CSCF_602155_2010-04-27"	602155	6021551	"Mulattieri Pascal"	"Normalaufnahme_Z9"	25	"1"	100	""	"1"	1	""	NA	""	"0"	""	""	""	""	""	""	""	""	"1"	"1"	"1"	"1"	2.5	""	""	"0"	""	""	"1"	"Klasse I: natuerlich oder naturnah"	0	"1"	"keine"	"kein"	"0%"	"keine"	"kein"	"kein"	"kein"	"kein"	"kein"	"kein"	"1"	0.15	"1"	16	16	""	""	""	""	""	""	""	""	"1"	52.65	""	NA	NA	NA	NA	NA	2	3	1	NA	1	3	"s10v4"	"s10v5"	"s9v4"	"s7v4"	"s6v4"	"s6v5"	"s5v5"	"s5v3"
"17"	2010	"608099"	"CSCF_608099"	"609055"	"99362"	"CSCF_608099_2010-06-08"	608099	6080991	"Menetrey Nathalie"	"Normalaufnahme_Z9"	50	"0"	NA	""	"0"	1	"1"	NA	""	"0"	""	""	""	""	""	""	"Gletscher"	"gris/blanc"	"1"	"1"	"1"	"1"	5	"1"	"1"	"0"	"1"	"1"	"1"	"Klasse I: natuerlich oder naturnah"	0	"0"	"keine"	"kein"	"0%"	"keine"	"kein"	"leicht/mittel"	"kein"	"kein"	"stark"	"stark"	"1"	0.36	"2"	16	16	""	""	""	"naturlich"	""	""	"naturlich"	"naturlich"	"1"	44	"10"	NA	2	2	NA	NA	2	4	NA	NA	NA	4	"s10v4"	"s10v4"	"s10v5"	"s6v4"	"s6v5"	"s5v5"	"s2v3"	"s1v4"
"18"	2010	"608179"	"CSCF_608179"	"608000"	"179438"	"CSCF_608179_2010-04-18"	608179	6081791	"Zurwerra Andreas"	"Normalaufnahme_Z9"	10	"0"	NA	""	"0"	0.5	"1"	NA	""	"0"	""	"Kalkbel„ge"	""	""	"Teiche oberhalb"	"Teiche (Hundesportler)"	""	""	"1"	"1"	"1"	"1"	1	""	""	"0"	"1"	""	"1"	"Klasse I: natuerlich oder naturnah"	0	"0"	"keine"	"mittel/viel"	"0%"	"keine"	"kein"	"leicht/mittel"	"wenig/mittel"	"wenig/mittel"	"kein"	"kein"	"1"	0.06	"1"	15	15	"anthropogen"	""	""	"anthropogen"	"anthropogen"	"anthropogen"	""	""	"1"	35.28	"5"	NA	NA	1	2	NA	3	3	1	NA	1	NA	"s9v3"	"s7v3"	"s6v3"	"s6v3"	"s6v1"	"s5v3"	"s3v1"	"s2v3"
"19"	2010	"608219"	"CSCF_608219"	"608000"	"219129"	"CSCF_608219_2010-03-09"	608219	6082191	"Sandoz Emilie"	"Normalaufnahme_Z9"	25	"0"	NA	""	"0"	0.722	"2"	NA	""	"0"	""	""	""	""	""	""	""	""	"2"	"2"	"1"	"6"	2.5	""	"1"	"0"	""	""	"3"	"Klasse III: stark beeintraechtigt"	6.25	"0"	"keine"	"kein"	"0%"	"keine"	"kein"	"leicht/mittel"	"kein"	"kein"	"kein"	"kein"	"1"	0.35	"1"	0	0	""	""	""	"anthropogen"	""	""	""	""	"2"	22.83	"2"	NA	NA	2	2	NA	2	3	2	3	1	NA	"s9v1"	"s8v1"	"s8v1"	"s7v1"	"s6v1"	"s5v1"	"s3v1"	"s2v1"
"20"	2010	"608259"	"CSCF_608259"	"608244"	"260000"	"CSCF_608259_2010-03-18"	608259	6082591	"Nicolas Martinez/Markus Fluri"	"Normalaufnahme_Z9"	32	"0"	NA	""	"0"	0.722	"1"	NA	""	"0"	"Verpackungen"	""	""	""	""	"Laubfall"	""	""	"1"	"1"	"1"	"2"	3.2	""	"1"	"0"	""	""	""	"Klasse II: wenig beeintraechtigt"	4	"0"	"vereinzelte"	"kein"	"0%"	"keine"	"kein"	"kein"	"kein"	"viel"	"kein"	"kein"	"1"	0.5	"2"	4	6	""	""	""	""	""	"naturlich"	""	""	"2"	21.56	""	2	NA	3	3	NA	2	1	3	NA	NA	1	"s10v3"	"s7v3"	"s7v1"	"s6v3"	"s5v3"	"s3v1"	"s2v3"	"s0v1"
"21"	2010	"614203"	"CSCF_614203"	"615000"	"203469"	"CSCF_614203_2010-04-07"	614203	6142031	"Sandoz Emilie"	"Normalaufnahme_Z9"	14	"1"	15	"Holz"	"2"	1	"2"	NA	""	"0"	""	""	""	""	""	""	""	""	"1"	"1"	"6"	"2"	1.4	"1"	"1"	"0"	""	"2"	"1"	"Klasse III: stark beeintraechtigt"	6.25	"0"	"keine"	"kein"	"0%"	"keine"	"kein"	"leicht/mittel"	"kein"	"kein"	"kein"	"kein"	"2"	0.15	"3"	3	16	""	""	""	"naturlich"	""	""	""	""	"3"	40.31	"6"	2	2	2	3	NA	2	4	2	NA	1	2	"s10v4"	"s10v5"	"s7v5"	"s6v5"	"s5v5"	"s3v5"	"s2v5"	"s1v5"
"22"	2010	"614243"	"CSCF_614243"	"614000"	"243922"	"CSCF_614243_2010-04-16"	614243	6142431	"Sandoz Emilie"	"Normalaufnahme_Z9"	50	"1"	80	"Fels/Stein"	"1"	1	""	NA	""	"0"	""	""	""	""	""	""	""	""	"1"	"1"	"1"	"1"	5	""	""	"0"	"1"	""	""	"Klasse I: natuerlich oder naturnah"	0	"1"	"keine"	"kein"	"0%"	"keine"	"kein"	"kein"	"kein"	"kein"	"kein"	"kein"	"1"	0.12	"2"	10	16	""	""	""	""	""	""	""	""	"1"	34.25	"6"	NA	NA	2	NA	NA	3	4	3	NA	NA	3	"s10v4"	"s10v5"	"s7v5"	"s7v3"	"s6v4"	"s6v5"	"s5v5"	"s2v3"
"23"	2010	"620187"	"CSCF_620187"	"620308"	"188000"	"CSCF_620187_2010-04-07"	620187	6201871	"Bur Markus"	"Normalaufnahme_Z9"	12	"0"	NA	""	"0"	1	"1"	NA	""	"0"	""	""	""	""	""	""	""	""	"1"	"1"	"1"	"1"	1.2	""	""	"0"	"1"	""	"1"	"Klasse I: natuerlich oder naturnah"	1	"0"	"keine"	"kein"	"0%"	"keine"	"kein"	"leicht/mittel"	"kein"	"viel"	"kein"	"kein"	"1"	0.05	"2"	16	3	""	""	""	"naturlich"	""	"naturlich"	""	""	"1"	42.52	"6"	NA	NA	1	1	NA	1	4	1	NA	NA	NA	"s7v5"	"s7v5"	"s7v3"	"s7v3"	"s7v1"	"s6v3"	"s6v1"	"s3v1"
"24"	2010	"626131"	"CSCF_626131"	"626000"	"131523"	"CSCF_626131_2010-06-09"	626131	6261311	"Menetrey Nathalie"	"Normalaufnahme_Z9"	12	"0"	NA	""	"0"	1	"3"	NA	""	"0"	""	"Mati‚re organique en d‚composition"	""	""	""	""	""	""	"1"	"1"	"1"	"1"	1.2	""	""	"0"	""	""	"2"	"Klasse I: natuerlich oder naturnah"	0	"0"	"keine"	"mittel/viel"	"0%"	"keine"	"kein"	"kein"	"kein"	"kein"	"kein"	"kein"	"1"	0.05	"2"	16	16	"naturlich"	""	""	""	""	""	""	""	"1"	44.57	"10"	NA	2	NA	NA	NA	NA	4	4	NA	2	4	"s10v5"	"s10v5"	"s9v5"	"s7v3"	"s7v3"	"s6v5"	"s6v5"	"s1v5"
"25"	2010	"626211"	"CSCF_626211"	"626000"	"211994"	"CSCF_626211_2010-04-16"	626211	6262111	"Sandoz Emilie"	"Normalaufnahme_Z9"	10	"0"	NA	""	"0"	1	"1"	NA	""	"0"	""	""	""	""	""	""	""	""	"1"	"1"	"1"	"3"	1	""	"1"	"0"	"1"	""	"1"	"Klasse II: wenig beeintraechtigt"	3.25	"0"	"keine"	"kein"	"0%"	"keine"	"kein"	"kein"	"kein"	"kein"	"kein"	"kein"	"1"	0.08	"2"	2.5	16	""	""	""	""	""	""	""	""	"2"	42.77	""	NA	NA	2	3	2	3	3	3	NA	1	1	"s9v5"	"s7v5"	"s7v3"	"s6v5"	"s5v5"	"s4v1"	"s3v3"	"s2v3"
"26"	2010	"626251"	"CSCF_626251"	"626000"	"251376"	"CSCF_626251_2010-03-18"	626251	6262511	"Nicolas Martinez/Markus Fluri"	"Normalaufnahme_Z9"	19	"1"	10	"naturlich"	"1"	0.722	"1"	NA	""	"0"	"Hygienartikel"	""	""	""	"Abwassereinleitung"	""	""	""	"1"	"1"	"1"	"1"	1.9	""	""	"0"	""	""	"1"	"Klasse II: wenig beeintraechtigt"	4	"1"	"keine"	"kein"	"0%"	"vereinzelte"	"kein"	"kein"	"wenig/mittel"	"kein"	"kein"	"kein"	"1"	0.3	"1"	2.5	2	""	""	""	""	"anthropogen"	""	""	""	"2"	28.54	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"s10v4"	"s9v3"	"s7v5"	"s6v4"	"s5v5"	"s3v1"	"s2v1"	"s0v5"
"27"	2010	"632155"	"CSCF_632155"	"632000"	"155855"	"CSCF_632155_2010-06-11"	632155	6321551	"Zurwerra Andreas"	"Normalaufnahme_Z9"	10	"0"	NA	""	"0"	1	"1"	NA	""	"0"	""	""	""	""	""	""	"Bergbach"	""	"1"	"1"	"1"	"1"	1	""	""	"0"	"1"	""	"1"	"Klasse I: natuerlich oder naturnah"	0	"0"	"keine"	"kein"	"0%"	"keine"	"kein"	"kein"	"kein"	"kein"	"leicht/mittel"	"leicht/mittel"	"1"	0.2	"1"	15	15	""	""	""	""	""	""	"naturlich"	"naturlich"	"1"	50.22	"6"	NA	1	1	NA	NA	2	4	NA	NA	NA	2	"s10v5"	"s10v3"	"s6v4"	"s6v5"	"s5v3"	"s5v1"	"s2v3"	"s1v5"
"28"	2010	"632195"	"CSCF_632195"	"631991"	"196000"	"CSCF_632195_2010-04-07"	632195	6321951	"Bur Markus"	"Normalaufnahme_Z9"	170	"0"	NA	""	"0"	1	"2"	NA	""	"0"	""	""	""	""	""	""	""	""	"1"	"1"	"1"	"1"	17	""	""	"0"	"1"	""	"1"	"Klasse II: wenig beeintraechtigt"	3	"0"	"keine"	"kein"	"0%"	"keine"	"kein"	"kein"	"kein"	"kein"	"kein"	"kein"	"1"	0.25	"2"	16	3	""	""	""	""	""	""	""	""	"2"	64.64	"6"	2	1	1	NA	NA	1	4	1	1	NA	1	"s10v4"	"s10v5"	"s7v5"	"s6v4"	"s6v5"	"s5v3"	"s2v3"	"s0v4"
"29"	2010	"632235"	"CSCF_632235"	"632195"	"234989"	"CSCF_632235_2010-03-16"	632235	6322351	"Sandoz Emilie"	"Normalaufnahme_Z9"	8	"0"	NA	""	"0"	1	""	NA	""	"0"	""	""	"Laubfall"	""	"Laubfall"	""	""	""	"1"	"1"	"1"	"1"	0.8	""	""	"0"	""	""	"2"	"Klasse II: wenig beeintraechtigt"	2	"0"	"keine"	"kein"	"< 25%"	"keine"	"kein"	"leicht/mittel"	"wenig/mittel"	"kein"	"leicht/mittel"	"kein"	"1"	0.15	"2"	5	15	""	"naturlich"	""	"naturlich"	"naturlich"	""	"naturlich"	""	"2"	21.96	"3"	NA	NA	1	4	NA	1	2	3	NA	3	1	"s10v1"	"s9v3"	"s9v1"	"s7v1"	"s6v1"	"s5v3"	"s3v1"	"s2v3"
